date,code,name,ID,result,equipment
20230201,DA0007,"Syphilis reagin (Ql),Blood",ZT940588,Non-reactive,진단면역AU480
20230201,DA0010,"Treponema pallidum Ab (Ql),Blood",ZT940588,Non-reactive(0.0),진단면역(COBASe801_2번장비)
20230201,DA0011,"HBs Ag (Ql),Blood",ZT940588,Negative(0.3),진단면역Alinity
20230201,DA0011,"HBs Ag (Ql),Blood",ZT940588,Negative(0.4),진단면역Alinity
20230201,DA0012,"Anti-HBs (Ql),Blood",ZT940588,Negative(<2.0),진단면역Alinity
20230201,DA0012,"Anti-HBs (Ql),Blood",ZT940588,Negative(2.1),진단면역Alinity
20230201,DA0012,"Anti-HBs (Ql),Blood",ZT940588,Positive(261.8),진단면역Alinity
20230201,DA0013,"HBe Ag (Ql),Blood",ZT940588,Negative(0.0),진단면역(COBASe801_2번장비)
20230201,DA0014,"Anti-HBe (Ql),Blood",ZT940588,Negative(1.5),진단면역(COBASe801_2번장비)
20230201,DA0014,"Anti-HBe (Ql),Blood",ZT940588,Negative(1.6),진단면역(COBASe801_2번장비)
20230201,DA0015,"IgM anti-HBc (Ql),Blood",ZT940588,Negative(0.0),진단면역(COBASe801_2번장비)
20230201,DA0016,"IgG/IgM anti-HBc (Ql),Blood",ZT940588,Negative(2.3),진단면역(COBASe801_2번장비)
20230201,DA0017,"HIV Ag/Ab (Ql),Blood",ZT940588,Negative(0.2),진단면역(COBASe801_2번장비)
20230201,DA0018,"Anti-HCV (Ql),Blood",ZT940588,Non-reactive(0.0),진단면역(COBASe801_2번장비)
20230201,DA0020,"IgM anti-HAV (Ql),Blood",ZT940588,Negative(0.3),진단면역(COBASe801_2번장비)
20230102,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230103,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.4,진단면역(COBASe801_4번장비)
20230104,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.4,진단면역(COBASe801_4번장비)
20230105,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.4,진단면역(COBASe801_4번장비)
20230106,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230107,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.3,진단면역(COBASe801_4번장비)
20230109,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230110,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230111,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.4,진단면역(COBASe801_4번장비)
20230112,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.3,진단면역(COBASe801_4번장비)
20230113,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.1,진단면역(COBASe801_4번장비)
20230114,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230116,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230117,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230118,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.2,진단면역(COBASe801_4번장비)
20230119,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.3,진단면역(COBASe801_4번장비)
20230120,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.1,진단면역(COBASe801_4번장비)
20230125,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4,진단면역(COBASe801_4번장비)
20230126,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.1,진단면역(COBASe801_4번장비)
20230127,DA0018,"Anti-HCV (Ql),Blood",ZDA00184,4.1,진단면역(COBASe801_4번장비)
